SEVERITY,ID,OCCURRED_AT,TYPE,DETECTION_QUADS,SUMMARY,CONTENT,DETECTION,ASSET_IDS,SOURCE_HOST_NAME,DESTINATION_HOST_NAME,SOURCE_IP,DESTINATION_IP,OTHER_IP,SOURCE,PACKET_CAPTURE_STATE
Low,39812,2025-03-28T15:58:29Z,Communication,Configuration,SSH Authentication Failure,SSH authentication failure from 10.0.242.127 to 10.0.3.30.,SSH Authentication Failure,"2896,1896",,,10.0.242.127,10.0.3.30,,5f0cbd47-3a8a-4ceb-9447-7b2ea2f69527,
Low,39814,2025-03-28T15:52:55Z,Communication,Configuration,SSH Authentication Failure,SSH authentication failure from 10.0.242.127 to 10.0.3.30.,SSH Authentication Failure,"2896,1896",,,10.0.242.127,10.0.3.30,,b05b5971-ab87-408a-b003-012044d77def,
Low,41862,2025-03-28T16:15:31Z,Communication,Configuration,New SMB Communication detected,New SMB_TreeInfo (version: ) traffic between Asset:1791 and Asset:1713,New SMB Communication Detection,"1713,1791",,,10.0.3.12,10.0.3.11,,3f1bac47-3ae4-44d4-8aa7-2aeb00a4eb4b,
Low,41941,2025-03-28T16:35:22Z,Communication,Configuration,SSH Authentication Failure,SSH authentication failure from 10.0.242.127 to 10.0.3.30.,SSH Authentication Failure,"2896,1896",,,10.0.242.127,10.0.3.30,,73621d1d-0edd-4d57-a1e3-509ebf948f9a,
